iter	Passed	Remaining
0	121	120884
1	123	61523
2	125	41596
3	127	31839
4	130	25913
5	134	22206
6	135	19262
7	137	17056
8	139	15323
9	140	13919
10	141	12757
11	143	11838
12	146	11136
13	148	10458
14	150	9852
15	151	9328
16	153	8874
17	154	8449
18	156	8080
19	160	7874
20	162	7563
21	163	7279
22	165	7027
23	166	6779
24	167	6542
25	168	6323
26	169	6125
27	171	5947
28	173	5795
29	174	5633
30	175	5480
31	176	5337
32	177	5202
33	178	5073
34	179	4951
35	180	4837
36	181	4731
37	182	4628
38	183	4531
39	185	4459
40	187	4382
41	188	4303
42	189	4223
43	190	4146
44	191	4072
45	193	4003
46	194	3934
47	195	3869
48	196	3807
49	197	3758
50	200	3725
51	201	3676
52	202	3623
53	203	3571
54	205	3523
55	206	3475
56	207	3427
57	208	3382
58	209	3338
59	210	3299
60	212	3266
61	213	3234
62	215	3207
63	217	3175
64	218	3143
65	219	3109
66	220	3075
67	222	3044
68	223	3013
69	225	2991
70	227	2981
71	229	2963
72	231	2942
73	233	2921
74	235	2899
75	236	2874
76	237	2850
77	239	2826
78	240	2807
79	242	2789
80	244	2769
81	245	2747
82	246	2723
83	247	2703
84	249	2685
85	250	2666
86	252	2646
87	253	2628
88	255	2614
89	256	2598
90	258	2583
91	260	2567
92	261	2553
93	263	2537
94	264	2518
95	265	2500
96	266	2485
97	268	2472
98	272	2480
99	274	2466
100	275	2452
101	277	2439
102	278	2425
103	279	2411
104	281	2395
105	282	2385
106	284	2374
107	286	2364
108	287	2353
109	289	2341
110	290	2329
111	292	2317
112	293	2304
113	294	2290
114	297	2287
115	299	2278
116	300	2266
117	301	2254
118	302	2243
119	304	2233
120	306	2225
121	307	2213
122	308	2202
123	310	2193
124	312	2186
125	315	2188
126	316	2178
127	318	2169
128	319	2159
129	321	2148
130	322	2137
131	323	2127
132	325	2119
133	327	2119
134	329	2109
135	330	2099
136	332	2092
137	333	2083
138	335	2075
139	336	2065
140	337	2056
141	338	2045
142	340	2038
143	341	2032
144	344	2028
145	345	2021
146	347	2014
147	348	2007
148	350	2000
149	351	1993
150	353	1987
151	355	1983
152	357	1977
153	359	1975
154	361	1969
155	362	1963
156	364	1956
157	365	1950
158	369	1953
159	371	1950
160	372	1943
161	374	1938
162	376	1935
163	378	1931
164	380	1927
165	382	1923
166	385	1921
167	387	1917
168	389	1913
169	390	1908
170	392	1903
171	394	1898
172	396	1893
173	398	1889
174	399	1883
175	400	1875
176	401	1868
177	403	1863
178	405	1858
179	406	1854
180	408	1848
181	410	1845
182	412	1841
183	413	1834
184	414	1827
185	416	1822
186	417	1816
187	419	1812
188	420	1806
189	422	1800
190	424	1796
191	425	1791
192	427	1786
193	429	1784
194	431	1779
195	432	1774
196	433	1768
197	435	1762
198	436	1757
199	438	1753
200	439	1748
201	441	1743
202	442	1738
203	444	1733
204	445	1728
205	447	1723
206	448	1717
207	449	1711
208	451	1708
209	453	1704
210	454	1700
211	456	1695
212	457	1691
213	459	1687
214	460	1681
215	461	1676
216	463	1670
217	464	1667
218	466	1663
219	467	1658
220	469	1654
221	471	1651
222	472	1645
223	473	1640
224	474	1635
225	476	1630
226	477	1626
227	478	1621
228	480	1617
229	482	1614
230	483	1609
231	484	1604
232	485	1599
233	487	1594
234	488	1591
235	490	1587
236	492	1583
237	493	1581
238	495	1577
239	497	1574
240	498	1569
241	499	1564
242	500	1560
243	502	1557
244	504	1553
245	505	1549
246	507	1546
247	509	1544
248	510	1540
249	512	1536
250	513	1533
251	515	1530
252	517	1527
253	518	1523
254	520	1519
255	521	1515
256	523	1512
257	524	1508
258	525	1504
259	528	1502
260	529	1499
261	531	1496
262	532	1493
263	534	1490
264	536	1487
265	537	1484
266	539	1480
267	540	1475
268	541	1471
269	542	1468
270	545	1466
271	546	1462
272	551	1469
273	553	1466
274	555	1464
275	557	1463
276	559	1460
277	561	1457
278	565	1461
279	568	1460
280	570	1459
281	572	1458
282	574	1456
283	577	1456
284	580	1455
285	582	1453
286	583	1450
287	586	1451
288	588	1447
289	589	1443
290	592	1444
291	594	1441
292	596	1438
293	597	1434
294	598	1431
295	600	1427
296	601	1423
297	602	1420
298	604	1416
299	606	1414
300	607	1411
301	609	1407
302	610	1404
303	611	1400
304	612	1396
305	614	1393
306	615	1389
307	616	1385
308	619	1384
309	621	1382
310	622	1379
311	624	1376
312	625	1373
313	626	1369
314	628	1365
315	629	1361
316	630	1358
317	632	1356
318	634	1354
319	636	1351
320	637	1349
321	639	1346
322	641	1343
323	642	1341
324	644	1338
325	645	1335
326	647	1332
327	649	1330
328	651	1328
329	653	1326
330	654	1323
331	656	1320
332	657	1317
333	659	1315
334	662	1315
335	664	1312
336	665	1310
337	667	1306
338	668	1304
339	671	1302
340	673	1300
341	675	1298
342	676	1296
343	678	1294
344	680	1291
345	681	1288
346	683	1286
347	685	1284
348	687	1281
349	688	1279
350	690	1276
351	691	1273
352	692	1269
353	694	1266
354	695	1263
355	696	1259
356	697	1256
357	698	1253
358	700	1249
359	702	1248
360	704	1246
361	705	1243
362	707	1240
363	708	1238
364	709	1234
365	710	1231
366	711	1227
367	712	1224
368	713	1220
369	715	1217
370	716	1215
371	718	1212
372	719	1209
373	720	1205
374	721	1202
375	722	1199
376	723	1196
377	724	1192
378	725	1189
379	727	1186
380	728	1182
381	729	1180
382	731	1178
383	733	1176
384	734	1173
385	736	1171
386	737	1168
387	739	1166
388	740	1163
389	742	1160
390	743	1158
391	745	1156
392	747	1153
393	748	1151
394	749	1148
395	751	1145
396	752	1142
397	753	1139
398	755	1137
399	756	1135
400	758	1133
401	760	1131
402	761	1128
403	762	1125
404	764	1122
405	765	1120
406	766	1117
407	767	1114
408	768	1111
409	769	1107
410	771	1105
411	773	1103
412	774	1100
413	775	1097
414	776	1094
415	777	1091
416	778	1088
417	779	1085
418	780	1082
419	781	1079
420	782	1076
421	783	1073
422	784	1070
423	785	1067
424	787	1065
425	788	1062
426	789	1059
427	790	1057
428	792	1054
429	793	1051
430	794	1048
431	795	1046
432	796	1043
433	797	1040
434	798	1037
435	799	1034
436	801	1032
437	802	1030
438	803	1027
439	804	1024
440	805	1021
441	807	1018
442	808	1016
443	809	1013
444	810	1010
445	811	1007
446	812	1004
447	813	1002
448	814	999
449	816	997
450	817	994
451	818	992
452	819	989
453	820	986
454	821	984
455	822	981
456	823	978
457	824	976
458	825	973
459	826	970
460	827	967
461	828	965
462	830	963
463	831	960
464	832	958
465	834	955
466	835	953
467	836	950
468	837	947
469	838	945
470	839	942
471	840	939
472	841	937
473	842	934
474	843	931
475	844	930
476	846	927
477	847	925
478	848	922
479	849	920
480	850	917
481	851	915
482	852	912
483	853	909
484	854	907
485	855	904
486	856	902
487	857	899
488	859	898
489	860	896
490	862	893
491	863	891
492	865	889
493	866	887
494	868	885
495	869	883
496	870	881
497	872	879
498	874	877
499	876	876
500	877	874
501	879	872
502	881	870
503	882	868
504	886	868
505	889	867
506	890	865
507	891	863
508	893	861
509	894	859
510	895	857
511	897	855
512	898	852
513	899	850
514	901	848
515	902	846
516	904	844
517	905	842
518	906	840
519	907	838
520	909	835
521	910	833
522	911	831
523	912	829
524	916	829
525	918	827
526	919	825
527	920	822
528	921	820
529	922	818
530	923	815
531	924	813
532	925	811
533	926	808
534	927	806
535	928	804
536	930	802
537	931	799
538	932	797
539	933	795
540	934	792
541	935	790
542	936	788
543	937	786
544	938	783
545	939	781
546	940	779
547	941	776
548	942	774
549	944	772
550	945	770
551	946	768
552	948	766
553	949	764
554	950	761
555	951	759
556	952	757
557	953	755
558	954	752
559	955	750
560	957	748
561	958	746
562	959	745
563	961	743
564	962	740
565	963	738
566	964	736
567	965	734
568	966	732
569	968	730
570	969	728
571	970	725
572	971	723
573	972	721
574	974	720
575	975	718
576	976	715
577	977	713
578	978	711
579	979	709
580	981	707
581	982	705
582	983	703
583	985	701
584	986	700
585	988	698
586	989	696
587	990	694
588	991	691
589	992	689
590	993	687
591	994	685
592	995	683
593	996	681
594	997	679
595	998	677
596	1000	675
597	1001	673
598	1003	671
599	1004	669
600	1005	667
601	1006	665
602	1007	663
603	1008	661
604	1009	659
605	1010	656
606	1011	654
607	1012	652
608	1013	650
609	1014	648
610	1016	646
611	1017	645
612	1018	643
613	1019	641
614	1020	639
615	1021	637
616	1023	635
617	1024	633
618	1025	630
619	1026	628
620	1027	626
621	1028	624
622	1029	622
623	1030	621
624	1032	619
625	1033	617
626	1034	615
